Latitude,Longitude
40.00506496770095,-75.35305008680555
39.28169622431581,-76.129281640625
39.45519795243402,-72.61124236111111
37.57604077404604,-78.49218311631944
41.21156929246141,-76.62396480034722
39.7061081438665,-74.14265512152777
41.45981022653823,-71.81396046006944
39.17492593008922,-75.08465815972222
41.022052020209216,-73.30590381944444
37.88300536994749,-74.08476666666667
40.35473768129303,-77.87119787326388
41.579926807543146,-74.86099822048611
40.52823940941124,-74.20317486979167
37.85097428167951,-76.366098046875
38.14459259080263,-71.99815099826388
