Latitude,Longitude
39.85795922898876,-75.52259834877759
41.42060878027563,-71.38092593158517
40.639284004632195,-74.24513445386435
37.87459633697082,-76.47733452287066
39.89402037248,-74.52752120958202
39.184817883819036,-74.91748387223974
40.30271333204733,-78.38680687105678
38.24722815304692,-72.88698862874605
39.07663445334533,-75.80498510449526
37.58610718904094,-79.03226231269716
40.25463180739235,-73.70725491916403
41.68505716587802,-74.95782483734227
39.46128665058517,-76.58491042981072
41.20424191932821,-76.90763815063092
40.999895439544545,-72.83320067527602
